,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
74,Super Metroid,"Jan 01, 1994",[],4.3,2K,2K,['Adventure'],"The Space Pirates, merciless agents of the evil Mother Brain, have stolen the last Metroid from a research station, and once again Mother Brain threatens the safety of the galaxy! Samus Aran must don her awesome array of high-tech weaponry to retrieve the deadly Metroid hidden deep within the cave-riddled planet Zebes. Super Metroid features excellent graphics, with a huge variety of enemies and worlds to explore. The side-view action will be familiar to many players, only now there are new weap",[],11K,309,3K,907
75,Super Mario Bros.,"Jan 01, 1985",[],3.5,1K,1K,['Adventure'],"A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.",[],18K,59,733,237
76,The Legend of Zelda: Majora's Mask,"Jan 01, 2000",[],4.4,2K,2K,['Adventure'],"The Legend of Zelda: Majora's Mask is a direct sequel to Ocarina of Time, it utilizes the same engine and visual style as its predecessor. The game retains the traditional elements of Zelda games as well as those introduced in Ocarina of Time, such as active blocking with a shield, various throwing items, and the usage of melodies played on the ocarina to solve puzzles. Compared to the previous Zelda games, this installment is more oriented towards interaction with NPCs and has a larger variety ",[],13K,347,3K,1K
77,Star Wars Jedi: Fallen Order,"Jan 01, 2019",[],3.7,1K,1K,['Adventure'],"Star Wars Jedi: Fallen Order is a narratively driven, single-player game puts you in the role of a Jedi Padawan who narrowly escaped the purge of Order 66 following the events of Episode III: Revenge of the Sith. On a quest to rebuild the Jedi Order, you must pick up the pieces of your shattered past to complete your training, develop new powerful Force abilities and master the art of the iconic lightsaber - all while staying one step ahead of the Empire and its deadly Inquisitors.",[],13K,740,3K,1K
78,The Last of Us,"Jan 01, 2013",[],4.2,2K,2K,['Adventure'],"A third person shooter/stealth/survival hybrid, in which twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans, Joel, a Texan with a tragic familial past, finds himself responsible with smuggling a fourteen year old girl named Ellie to a militia group called the Fireflies, while avoiding strict and deadly authorities, infected fungal hosts and other violent survivors.",[],17K,205,2K,1K
79,Terraria,"Jan 01, 2011",[],4.0,1K,1K,['Adventure'],"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Te",[],18K,673,2K,593
80,Resident Evil 7: Biohazard,"Jan 01, 2017",[],3.9,1K,1K,['Adventure'],"Resident Evil 7: Biohazard is the first game of the Resident Evil series to switch from 3rd-person to fully 1st-person perspective. A complete refresh of gameplay systems simultaneously propels the survival horror experience to another level. It is as much horror as it is survival, boosting up scare elements and minimizing downright shooting action. The game allows use of Sony's PSVR Headset to play in VR mode.",[],13K,326,3K,1K
81,Metal Gear Solid V: The Phantom Pain,"Jan 01, 2015",[],3.8,1K,1K,['Adventure'],"Metal Gear Solid V: The Phantom Pain is the final game in the Metal Gear series. It is the sequel to Metal Gear Solid V: Ground Zeroes released the year before and a prequel to the original Metal Gear. The game has a complex story with long cut-scene sequences, but there are fewer and they are shorter compared to earlier Metal Gear Solid titles. Most of the gameplay mechanics introduced in Ground Zeroes are carried over: it is still an action game and stealth oriented but replaces the linear cor",[],14K,503,4K,1K
82,Overwatch,"Jan 01, 2016",[],3.2,957,957,['Shooter'],"Join the fight for the future in the world of Overwatch and choose your hero from a diverse cast of soldiers, scientists, adventurers, and oddities. Bend time, defy physics, and unleash a dizzying array of extraordinary powers and weapons. Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter.",[],19K,436,411,214
83,Half-Life 2,"Jan 01, 2004",[],4.2,1K,1K,['Shooter'],"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.
             

              NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.",[],15K,257,3K,1K
84,Fire Emblem: Three Houses,"Jan 01, 2019",[],4.0,1K,1K,['Adventure'],"Here, order is maintained by the Church of Seiros, which hosts the prestigious Officer’s Academy within its headquarters. You are invited to teach one of its three mighty houses, each comprised of students brimming with personality and represented by a royal from one of three territories. As their professor, you must lead your students in their academic lives and in turn-based, tactical RPG battles wrought with strategic, new twists to overcome. Which house, and which path, will you choose?",[],12K,1K,3K,1K
85,Grand Theft Auto: San Andreas,"Jan 01, 2004",[],4.1,1K,1K,['Adventure'],"Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.",[],19K,270,2K,742
86,13 Sentinels: Aegis Rim,"Jan 01, 2019",[],4.4,1K,1K,['Adventure'],"Uncover the truth and delve into a 2D sidescrolling adventure featuring gorgeous art and environments. Then, battle the kaiju in fast-paced, top-down combat. Customize the Sentinels with an arsenal of mechsuit weaponry, and fight to defend humanity!",[],3K,466,3K,2K
87,Persona 3 FES,"Jan 01, 2007",[],4.1,1K,1K,['RPG'],"Shin Megami Tensei: Persona 3 FES is an add-on disc for Persona 3 containing updates to the original game (referred in the game as ""The Journey""), as well as a new epilogue story, The Answer, in which the player controls Aigis. The subtitle ""Fes"" is derived from the word ""festival"".",[],8K,584,2K,1K
88,Devil May Cry,"Jan 01, 2001",[],3.5,1K,1K,['Brawler'],"Originally intended to be the fourth installment in the Resident Evil series, Devil May Cry is an action-adventure game that introduced a host of new elements to the gaming community. Chief among them is the Stylish Rank, which grades the player's performance in combat. The game is split into Missions, which are individually scored according to various factors, such as Orbs gathered and damage taken. Additionally, Devil May Cry did away with the pre-rendered backgrounds of prior Resident Evil ga",[],10K,286,2K,1K
89,Mario Kart 8 Deluxe,"Jan 01, 2017",[],4.0,1K,1K,['Arcade'],"Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr.!",[],19K,705,781,635
90,Fire Emblem Engage,"Jan 01, 2023",[],3.9,593,593,['Adventure'],"Become the Divine Dragon and save the continent of Elyos!
             

              Summon valiant heroes like Marth & Celica alongside a new cast of characters and engage in turn-based, tactical combat against a great evil in this new Fire Emblem story.",[],1K,874,929,1K
91,Pokémon Violet,"Jan 01, 2022",[],3.5,753,753,['Adventure'],"The Pokémon Scarlet and Pokémon Violet games, the newest chapters in the Pokémon series, are coming to Nintendo Switch later this year. With these new titles, the Pokémon series takes a new evolutionary step, allowing you to explore freely in a richly expressed open world.
             

              Various towns blend seamlessly into the wilderness with no borders. You’ll be able to see the Pokémon of this region in the skies, in the seas, in the forests, on the streets—all over! You’ll be ab",[],3K,868,747,750
92,Hotline Miami,"Jan 01, 2012",[],4.0,1K,1K,['Arcade'],"A top-down slasher/shooter with unlockable gameplay-altering masks and weapons, featuring a neon-flavoured electronic aesthetic, in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within, as he stumbles through unreal visions and inconsistencies without any answers to how, why or who.",[],14K,217,2K,928
93,Pizza Tower,"Jan 01, 2023",[],4.5,363,363,['Indie'],"Pizza Tower is a 2D platformer mainly inspired by Wario Land and Earthworm Jim. The game has over-the-top hand-drawn animations and music. You play as Peppino Spaghetti, a manic pizza man with many abilities like charging, super jumping and dashing. Peppino has to go up each floor of the tower by finding keys, saving toppins folks and getting as many points as possible!",[],1K,325,777,1K
94,Psychonauts 2,"Jan 01, 2021",[],4.2,1K,1K,['Adventure'],"Psychonauts 2 is a mind-bending trip through the strange worlds hiding inside our brains. Freshly-minted special agent and acrobat extraordinaire Razputin “Raz” Aquato returns to unpack emotional baggage and expand mental horizons. Along the way he’ll help new friends, like this magical mote of light voiced (and sung) by Jack Black. Raz must use his powers to unravel dark mysteries about the Psychonauts team and his own family origins.",[],4K,315,2K,2K
95,Metroid Prime Remastered,"Jan 01, 2023",[],4.5,372,372,['Adventure'],"Get behind the visor of intergalactic bounty hunter Samus Aran in her critically-acclaimed first-person adventure.
             

              Step into the boots of Samus Aran as you navigate the winding paths and interconnected environments of an alluring-yet-dangerous alien planet. Use powers like the iconic Morph Ball and Grapple Beam to revisit hard-to-reach areas and find a path forward. With revamped graphics, sound, unlockable art, and updated control schemes, Samus’ 3D platforming debu",[],1K,593,1K,1K
96,Halo Infinite,"Jan 01, 2021",[],3.3,972,972,['Adventure'],"The Master Chief returns in Halo Infinite – the next chapter of the legendary franchise. When all hope is lost and humanity’s fate hangs in the balance, the Master Chief is ready to confront the most ruthless foe he’s ever faced. Step inside the armor of humanity’s greatest hero to experience an epic adventure and explore the massive scale of the Halo ring.",[],6K,632,1K,959
97,Batman: Arkham Asylum,"Jan 01, 2009",[],3.9,1K,1K,['Adventure'],"Using a great variety of gadgets you must make your way around the island, and the asylums halls to find and stop the joker. The game uses a 3-button combat system, but with a great number of gadget abilites which Batman can unlock. This makes for a very cinematic combat experience when fighting the Joker's goons.",[],17K,232,2K,672
98,Super Mario Sunshine,"Jan 01, 2002",[],3.7,1K,1K,['Adventure'],"Super Mario Sunshine is a Mario action-adventure 3D platformer. It follows Super Mario 64, and is the second 3D Mario platformer. Gameplay features a combination of action and puzzle solving, with numerous stages and multiple episodes to each stage, and plenty of hidden secrets and surprises. This game introduced many recurring characters and bosses in the Mario series, including Toadsworth, Bowser Jr., Petey Piranha, Gooper Blooper, Piantas, Nokis, Shadow Mario, and F.L.U.D.D. Super Mario Sunsh",[],14K,403,3K,1K
99,Mother 3,"Jan 01, 2006",[],4.5,1K,1K,['RPG'],"A turn-based JRPG and sequel to EarthBound (1994) in which a tragedy surrounding a family in the primitive yet joyful village of Tazmily incites the coming-of-age story of Lucas, the family's younger son, who goes on perilous adventures along with his friends in order to find his missing brother and stop a group of masked men from bringing about the end of the world.",[],5K,287,3K,1K
100,MultiVersus,"Jan 01, 2022",[],2.8,480,480,['Fighting'],"MultiVersus is a platform fighter that lets you team up with or against your friends using some of the world’s most iconic characters including Batman, Shaggy, Superman, Bugs Bunny & more. Use unique co-op abilities, find your favorite fighter combos and save the Multiverse!",[],5K,341,361,216
101,Xenoblade Chronicles: Definitive Edition,"Jan 01, 2020",[],4.3,1K,1K,['RPG'],"Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace. Wield a future-seeing blade, chain together attacks, and carefully position your party members in strategic, real-time combat as you journey across a massive world.",[],7K,849,3K,1K
102,Half-Life,"Jan 01, 1998",[],4.0,1K,1K,['Adventure'],"Dr. Gordon Freeman doesn't speak, but he's got a helluva story to tell. This first-person roller-coaster initiated a new era in the history of action games by combining engrossing gameplay, upgraded graphics, ingenious level design and a revolutionary story that may not be all that it seems, told not through cutscenes, but through the visual environment.",[],13K,322,2K,892
103,Marvel's Guardians of the Galaxy,"Jan 01, 2021",[],3.8,1K,1K,['Adventure'],"Fire up a wild ride across the cosmos with a fresh take on Marvel’s Guardians of the Galaxy. In this action-adventure game, you are Star-Lord leading the unpredictable Guardians from one explosion of chaos to the next. You got this. Probably.",[],5K,432,2K,1K
104,Danganronpa: Trigger Happy Havoc,"Jan 01, 2010",[],3.5,1K,1K,['Adventure'],"In ""Danganronpa"" you'll dive into a series of class trials and expose the lies and contradictions of your classmates in order to find out who's behind each grisly murder. In each trial, you'll have to use the evidence and testimony collected during your investigation to literally shoot down your opponent's assertions. By combining logic and motion, ""Danganronpa"" offers an exciting and unprecedented gaming experience.",[],12K,311,1K,716
105,Cult of the Lamb,"Jan 01, 2022",[],3.6,589,589,['Adventure'],"Cult of the Lamb casts players in the role of a possessed lamb saved from annihilation by an ominous stranger, and must repay their debt by building a loyal following in his name. Start your own cult in a land of false prophets, venturing out into diverse and mysterious regions to build a loyal community of woodland worshippers and spread your Word to become the one true cult.",[],2K,546,1K,2K
106,Sonic Mania,"Jan 01, 2017",[],4.0,1K,1K,['Adventure'],Experience the ultimate celebration of past and future in Sonic Mania! Re-live the Sonic of the past with an exciting new twist on classic zones while fighting against new bosses and Dr. Eggman’s evil robot army. Go head to-head with players in Competition Mode or play in Co-Op Mode with a friend.,[],12K,399,3K,786
107,Horizon Zero Dawn,"Jan 01, 2017",[],3.6,1K,1K,['Adventure'],"Welcome to a vibrant world rich with the beauty of nature – but inhabited by awe-inspiring, highly advanced machines. As a young machine hunter named Aloy, you must unravel the mysteries of this world and find your own destiny.",[],13K,689,4K,1K
108,Left 4 Dead 2,"Jan 01, 2009",[],3.9,1K,1K,['Shooter'],"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way thro",[],19K,279,1K,358
109,League of Legends,"Jan 01, 2009",[],2.1,484,484,['MOBA'],"League of Legends is a fast-paced, competitive online game that blends the speed and intensity of an RTS with RPG elements. Two teams of powerful champions, each with a unique design and playstyle, battle head-to-head across multiple battlefields and game modes. With an ever-expanding roster of champions, frequent updates and a thriving tournament scene, League of Legends offers endless replayability for players of every skill level.",[],13K,1K,324,52
110,Control,"Jan 01, 2019",[],3.6,1K,1K,['Adventure'],"Control is a supernatural 3rd person action-adventure will challenge you to master the combination of supernatural abilities, modifiable loadouts and reactive environments while fighting through a deep and unpredictable world.",[],9K,591,5K,1K
111,Doki Doki Literature Club!,"Jan 01, 2017",[],3.3,783,783,['Adventure'],The Literature Club is full of cute girls! Will you write the way into their heart? This game is not suitable for children or those who are easily disturbed.,[],14K,131,1K,460
112,Batman: Arkham City,"Jan 01, 2011",[],4.1,1K,1K,['Adventure'],"After the events of Batman: Arkham Asylum (2009), a section of the city of Gotham has been turned into a prison, designed to keep the scum of the city away from the people. Bruce Wayne protests this prison but is shortly kidnapped by the despicable Hugo Strange, thus having to face the city's most powerful villains as the Batman while trying to uncover Strange's plans.",[],16K,192,2K,651
113,Yakuza Kiwami,"Jan 01, 2016",[],3.7,1K,1K,['Adventure'],Yakuza Kiwami is a remake of the 2005 open world action-adventure game Yakuza.,[],9K,439,3K,1K
114,Phoenix Wright: Ace Attorney,"Jan 01, 2005",[],4.1,1K,1K,['Adventure'],"Meet Phoenix Wright, the rookie defense lawyer new to the scene with the wildest cross-examination skills in town! Take on five intriguing cases to reveal dramatic, stunning, and even comical court proceedings. Use both the touch screen to investigate the crime scenes, question witnesses and present shocking evidence. “Objection!”...It’s outrageous fun! You won’t be able to put down this laugh-out-loud, riveting adventure!",[],12K,418,1K,1K
115,Team Fortress 2,"Jan 01, 2007",[],3.9,955,955,['Shooter'],"Choose from a selection of 9 classes, each with entertaining personalities and a different set of gameplay mechanics, to capture or defend the objective within numerous game modes against the enemy team, with a variety of unlockable and tradable weapons and cosmetics which add a layer of customization to each player's experience.",[],16K,505,532,158
116,Xenoblade Chronicles 2,"Jan 01, 2017",[],3.9,1K,1K,['Adventure'],"The next adventure is on the Nintendo Switch console set on the backs of colossal, living Titans. Discover each Titan's diverse regions, culture, wildlife, equipment, and hidden secrets. Find, bond with, and command weaponized life forms known as Blades to earn abilities and enhance them. Uncover the history of Alrest and the mystery of its endless ocean of clouds.",[],7K,453,2K,1K
117,Splatoon 3,"Jan 01, 2022",[],4.1,840,840,['Platform'],"Enter the Splatlands, a sun-scorched desert inhabited by battle-hardened Inklings and Octolings. Splatsville, the city of chaos, is the adrenaline-fueled heart of this dusty wasteland. Even in this desolate environment, Turf War reigns supreme and battles rage in new stages located in the surrounding wilds. Dynamic new moves help these fighters dodge attacks and cover more ground, along with a new bow-shaped weapon to sling ink.",[],3K,1K,632,1K
118,Chrome Dino,"Jan 01, 2014",[],3.5,124,124,['Arcade'],"Chrome Dino is a game easter egg in Google's Chrome web browser. It can be played by touching over the dinosaur or pressing the space bar when your internet connection goes down or by accessing chrome://dino/ on the web browser.
             

              The game is an endless runner. The objective is to jump over cacti an avoid pterodactyls flying in your direction.",[],14K,122,197,35
119,Katana Zero,"Jan 01, 2019",[],4.1,1K,1K,['Adventure'],"Katana Zero is a fast paced neo-noir action platformer, focusing on tight, instant-death acrobatic combat, and a dark 80's neon aesthetic. Aided with your trusty katana, the time manipulation drug Chronos and the rest of your assassin's arsenal, fight your way through a fractured city, and take back what's rightfully yours.",[],9K,189,2K,1K
120,Life is Strange,"Jan 01, 2015",[],3.4,1K,1K,['Adventure'],"Life is Strange is a five part episodic game that sets out to revolutionize story based choice and consequence games by allowing the player to rewind time and affect the past, present and future.",[],15K,209,2K,817
121,Dark Souls II: Scholar of the First Sin,"Jan 01, 2015",[],3.5,988,988,['Adventure'],"'Dark Souls II: Scholar of the First Sin' is an upgrade and bundle of Dark Souls II that brings the game to Playstation 4 and Xbox One, as well as DX11 features on PC. It also bundles all previous DLCs and provides additional features and content.",[],11K,443,2K,994
122,Deathloop,"Jan 01, 2021",[],3.5,897,897,['Adventure'],"Deathloop transports players to the lawless island of Blackreef in an eternal struggle between two extraordinary assassins. Explore stunning environments and meticulously designed levels in an immersive gameplay experience that lets you approach every situation any way you like. Hunt down targets all over the island in an effort to put an end to the cycle once and for all, and remember, if at first you don’t succeed… die, die again.",[],4K,389,2K,1K
123,Shadow of the Colossus,"Jan 01, 2018",[],4.1,1K,1K,['Adventure'],"Tales speak of an ancient land where creatures the size of mountains, roam the majestic landscape. Bound to the land, these creatures hold a key to a mystical power of revival - a power you must obtain to waken a loved one.
             

              Shadow of the Colossus is a majestic journey through ancient lands to seek out and destroy gigantic mythical beasts. With your trusty horse at your side, explore the spacious lands and unearth each Colossi. Armed with your wits, a sword and a bow,",[],7K,242,3K,1K
124,Teenage Mutant Ninja Turtles: Shredder's Revenge,"Jan 01, 2022",[],3.8,880,880,['Arcade'],"Teenage Mutant Ninja Turtles: Shredder's Revenge reunites Leonardo, Raphael, Michelangelo, and Donatello to kick shell in a beautifully realized pixel art world invoking the turtles' classic 1987 design.",[],3K,226,875,829
125,Sifu,"Jan 01, 2022",[],3.8,633,633,['Brawler'],"A third person action game featuring intense hand-to-hand combat, it puts you in control of a young Kung-Fu student on his path of revenge throughout the city.",[],2K,283,1K,2K
126,Super Mario Bros. 3,"Jan 01, 1988",[],4.0,1K,1K,['Platform'],"Super Mario Bros. 3, the third entry in the Super Mario Bros. series and Super Mario franchise, sees Mario or Luigi navigate a nonlinear world map containing platforming levels and optional minigames and challenges. The game features more diverse movement options and new items alongside more complex level designs and boss battles.",[],14K,109,1K,362
127,Dishonored,"Jan 01, 2012",[],3.9,1K,1K,['Adventure'],"Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal. Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn. The outcome of each mission plays out based on the choices you make.",[],14K,268,3K,866
128,Metal Gear Solid 3: Snake Eater,"Jan 01, 2004",[],4.5,1K,1K,['Adventure'],"Metal Gear Solid 3: Snake Eater is the prequel to the entire Metal Gear series. Most of the series' defining gameplay elements have been carried over and as before, Snake must use stealth and wits rather than brute force to infiltrate enemy zones and eliminate his major adversaries. Unlike the previous games, this installment takes place in a large outdoor jungle. Snake is able to use camouflage, climb trees, hide in tall grass or wear clothes that make him less noticeable.",[],9K,118,2K,1K
129,Journey,"Jan 01, 2012",[],3.9,1K,1K,['Adventure'],"A third-person adventure game in which the player, controlling a robed figure, makes a pilgrimage through a desert landscape to a rugged mountain with a beacon of light in the distance while uncovering the history of their people, rescuing and cooperating with friendly creatures, avoiding predatory ones and communicating with other travelers.",[],12K,94,2K,1K
130,Kingdom Hearts,"Jan 01, 2002",[],3.6,1K,1K,['Adventure'],"Kingdom Hearts is an action role-playing game developed and published by Squaresoft for the PlayStation 2. It is the result of a collaboration between Square and The Walt Disney Company. The game combines characters and settings from Disney's animated features with those from the Final Fantasy series, developed by Square.
             

              Kingdom Hearts was a departure from Square's standard role-playing games by introducing a substantial action-adventure element. In addition, it has",[],12K,266,2K,1K
131,Titanfall 2,"Jan 01, 2016",[],4.1,1K,1K,['Adventure'],"Titanfall 2 will deliver a crafted experience that explores the unique bond between man and machine. Playable offline, the single player campaign in Titanfall 2 will let fans step out onto the Frontier as a Militia rifleman with aspirations of becoming an elite Pilot. Stranded behind enemy lines and facing overwhelming odds, players must team up with a veteran Titan to uphold a mission they were never meant to carry out.",[],12K,163,2K,656
132,Live A Live,"Jan 01, 2022",[],4.1,555,555,['RPG'],"Previously unreleased outside of Japan, the RPG game Live a Live is releasing on the Nintendo Switch system in the HD-2D style!
             

              Seven different stories featuring different protagonists, time periods, and gameplay styles await. In The Wild West, a wanderer with a bounty on his head fights for his life. In the Twilight of Edo Japan, a shinobi undertakes a secret mission. Experience these tales in any order you choose—the adventure is yours to control. What other storie",[],1K,235,1K,1K
133,The Last of Us Remastered,"Jan 01, 2014",[],4.3,1K,1K,['Adventure'],"The Last of Us Remastered is an updated release of the PS3 game The Last of Us. It is identical to the PS3 version but runs at a 1080p resolution and incorporates character models with a higher resolution. There are also improved shadows and lighting, upgraded textures, 60 frames per second and other types of improvements. In addition to the base game, two map packs and the expansion The Last of Us: Left Behind are included.",[],12K,258,1K,682
134,Sonic the Hedgehog,"Jan 01, 1991",[],3.1,1K,1K,['Platform'],"Sonic the Hedgehog is a 2D, side-scrolling platformer, whose gameplay centers around Sonic's ability to run at high speed through levels incorporating springs, slopes, high falls, and loop-the-loops. The levels contain hazards in the form of robots (""badniks"" in the Western game manuals) in which Dr. Robotnik has trapped animals. Although destroying a robot frees the animal within, this is not required to complete the game. The player must avoid rows of sharp spikes, falling into bottomless pits",[],12K,60,804,243
135,Rocket League,"Jan 01, 2015",[],3.4,917,917,['Indie'],"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations.",[],17K,564,698,113
136,Batman: Arkham Knight,"Jan 01, 2015",[],3.7,1K,1K,['Adventure'],"Batman: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile. The highly anticipated addition of this legendary vehicle, combined with the acclaimed gameplay of the Arkham series, offers gamers the ultimate and complete Batman experience as they tear through the streets and soar across the skyline of the entirety of",[],13K,279,3K,757
137,Bayonetta 3,"Jan 01, 2022",[],3.7,690,690,['Brawler'],"You’ve waited long enough. The witch. Is. Back! A new-look Bayonetta returns to battle foes with her signature Witch Time! This time, she’ll wield her new Demon Masquerade ability to channel the power of demons and engage in larger-than-life action.",[],1K,235,1K,2K
138,Disco Elysium,"Jan 01, 2019",[],4.6,1K,1K,['Adventure'],"A CRPG in which, waking up in a hotel room a total amnesiac with highly opinionated voices in his head, a middle-aged detective on a murder case inadvertently ends up playing a part in the political dispute between a local labour union and a larger international body, all while struggling to piece together his past, diagnose the nature of the reality around him and come to terms with said reality.",[],4K,478,2K,1K
139,Guilty Gear: Strive,"Jan 01, 2021",[],3.9,810,810,['Fighting'],"Discover the Smell of the Game with Guilty Gear: Strive! Immerse yourself in new gameplay mechanics designed to be simple and welcoming for fighting game newcomers, yet deep and creative for veterans. Ride the Fire into a heavy metal inspired alternate future full of over-the-top action, style and fun!",[],5K,713,805,1K
140,Wii Sports,"Jan 01, 2006",[],3.7,775,775,['Simulator'],"Bowl like a pro or go for that home run...
              
              Experience Tennis, Baseball, Golf, Bowling and Boxing as you never did before. Thanks to the Wii Remote, each sport will be immediately familiar and easy to play. And, when you feel ready, challenge your friends and family: everybody will be in for some serious Wii Sports fun!",[],18K,39,320,93
141,Hogwarts Legacy,"Jan 01, 2023",[],3.5,474,474,['Adventure'],"Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Now you can take control of the action and be at the center of your own adventure in the wizarding world. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be. Discover the feeling of living at Hogwarts as you make a",[],1K,766,686,1K
142,Mario Kart Wii,"Jan 01, 2008",[],3.9,1K,1K,['Racing'],"Mario Kart Wii is a multiplayer-oriented racing game for the Wii, and the sixth main installment in the Mario Kart series. Mario Kart Wii retains the traditional item-based weaponry familiar with the franchise, where players can select a Mario franchise driver and themed vehicles. As with most racing games, the overarching goal is to place first among other competitors, through the usage of such items and taking the fastest routes to secure the leads. Several new key elements introduced to Mario",[],19K,88,461,168
143,Resident Evil 3,"Jan 01, 2020",[],3.2,1K,1K,['Adventure'],"Resident Evil 3 is a remake of the original Resident Evil 3: Nemesis released in 1999. It updates the story and gameplay for a modern audience. Like the Resident Evil 2 remake, the game uses over-the-shoulder third person point of view similar to Resident Evil 4 and later installments. Players will spend most of their time playing as Jill Valentine, although on some occasions they will assume the role of Carlos Oliveira, giving him more screen time as a deuteragonist.",[],8K,157,2K,1K
144,Unpacking,"Jan 01, 2021",[],3.6,751,751,['Indie'],"Unpacking is a zen puzzle game about the familiar experience of pulling possessions out of boxes and fitting them into a new home. Part block-fitting puzzle, part home decoration, you are invited to create a satisfying living space while learning clues about the life you’re unpacking.
             

              Over the course of eight house moves, you are given a chance to experience a sense of intimacy with a character you never see and a story you’re never told.",[],4K,216,996,1K
145,Red Dead Redemption,"Jan 01, 2010",[],4.2,1K,1K,['Adventure'],"A modern-day Western epic, Red Dead Redemption takes John Marston, a relic from the fast-closing time of the gunslinger, through an open-world filled with wildlife, mini games and shootouts. Marston sets out to hunt down his old gang mates for the government, who have taken away his family, and meets many characters emblematic of the Wild West, heroism and the new civilization along his journey.",[],13K,218,2K,1K
146,Tales of Arise,"Jan 01, 2021",[],3.6,650,650,['Adventure'],"On the planet Dahna, reverence has always been given to Rena--the planet in the sky--as a land of the righteous and divine. Stories handed down for generations became truth and masked reality for the people of Dahna. For 300 years, Rena has ruled over Dahna, pillaging the planet of its resources and stripping people of their dignity and freedom.
             

              Our tale begins with two people, born on different worlds, each looking to change their fate and create a new future. Featu",[],3K,571,2K,1K
147,Deltarune: Chapter 1,"Jan 01, 2018",[],3.9,591,591,['Adventure'],"The story follows a human named Kris who lives in a world inhabited by monsters. Kris and a classmate named Susie fall into an unknown place called the ""Dark World"" where they meet Ralsei, who informs them that they are heroes destined to save the world. The trio meets various beings who call themselves ""Darkners"" during a prophesied quest to seal the duplicate Dark Fountain. Mainly through the combat system, the player navigates through different kinds of bullet hell attacks by enemies, which c",[],11K,107,1K,729
148,Dead Space,"Jan 01, 2008",[],4.0,1K,1K,['Shooter'],"Dead Space is a 2008 science fiction survival horror video game developed by EA Redwood Shores (now Visceral Games) for Microsoft Windows, PlayStation 3 and Xbox 360. The game was released on all platforms through October 2008. The game puts the player in control of an engineer named Isaac Clarke, who battles the Necromorphs, reanimated human corpses, aboard an interstellar mining ship, the USG Ishimura.",[],9K,302,2K,1K
