,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
19,Super Mario Odyssey,"Jan 01, 2017",[],4.2,2K,2K,['Adventure'],"Explore incredible places far from the Mushroom Kingdom as you join Mario and his new ally Cappy on a massive, globe-trotting 3D adventure. Use amazing new abilities, like the power to capture and control objects, animals, and enemies to collect Power Moons so you can power up the Odyssey airship and save Princess Peach from Bowser’s wedding plans!",[],25K,710,2K,2K
20,Pokémon Legends: Arceus,"Jan 01, 2022",[],3.7,1K,1K,['Adventure'],"The Pokémon Legends: Arceus game honors past Pokémon games’ core gameplay while infusing new action and RPG elements.
             

              You’ll need to catch, survey, and research wild Pokémon in a long-gone era of the Sinnoh region to create and complete the region’s first Pokédex.",[],9K,1K,2K,2K
21,Hi-Fi Rush,"Jan 01, 2023",[],4.3,926,926,['Adventure'],"As wannabe rockstar Chai, you’ll fight back against a sinister robotics enhancement conglomerate using rhythm-amplified combat where everything – from the motion in the environment to the blows of combat – is synced to the music.",[],3K,866,1K,2K
22,Metal Gear Rising: Revengeance,"Jan 01, 2013",[],4.1,2K,2K,['Adventure'],"Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path!
             

              A huge success on both Xbox 360 and ",[],14K,492,4K,2K
23,Grand Theft Auto V,"Jan 01, 2013",[],3.8,2K,2K,['Adventure'],"Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story.",[],30K,829,3K,664
24,Cyberpunk 2077,"Jan 01, 2020",[],3.3,1K,1K,['Adventure'],"Cyberpunk 2077 is an open-world, action-adventure story set in Night City, a megalopolis obsessed with power, glamour and body modification. You play as V, a mercenary outlaw going after a one-of-a-kind implant that is the key to immortality. You can customize your character’s cyberware, skillset and playstyle, and explore a vast city where the choices you make shape the story and the world around you.",[],13K,1K,4K,2K
25,God of War Ragnarök,"Jan 01, 2022",[],4.4,1K,1K,['Adventure'],"God of War: Ragnarök is the ninth installment in the God of War series and the sequel to 2018's God of War. Continuing with the Norse mythology theme, the game is set in ancient Norway and feature series protagonists Kratos, the former Greek God of War, and his young son Atreus. The game is expected to kick off the events of Ragnarök, where Kratos and Atreus must journey to each of the Nine Realms in search of answers as they prepare for the prophesied battle that will end the world.",[],5K,801,2K,3K
26,Xenoblade Chronicles 3,"Jan 01, 2022",[],4.4,1K,1K,['Adventure'],"A vast world awaits in Xenoblade Chronicles 3, the next game in the acclaimed RPG series from developer Monolithsoft. Players will step into the roles of protagonists Noah and Mio amid turmoil between the hostile nations of Keves and Agnus. Six characters hailing from those nations will take part in a grand tale with “life” as its central theme. Explore a new world that will connect the futures of both Xenoblade Chronicles and Xenoblade Chronicles 2.",[],3K,795,2K,2K
27,Kirby and the Forgotten Land,"Jan 01, 2022",[],4.2,1K,1K,['Adventure'],"Join Kirby in an unforgettable journey through a mysterious world in a delightful 3D platforming adventure. Take control of the powerful pink puffball, Kirby, and move around freely in 3D stages as you discover a mysterious world with abandoned structures from a past civilization - like a shopping mall?! Copy enemies’ abilities like Sword and Ice and use them to attack and explore your surroundings! What journey awaits Kirby? Take a deep breath and get ready for an unforgettable adventure!",[],5K,955,2K,3K
28,Disco Elysium: The Final Cut,"Jan 01, 2020",[],4.6,1K,1K,['Adventure'],"Disco Elysium: The Final Cut is a groundbreaking role playing game. You’re a detective with a unique skill system at your disposal and a whole city to carve your path across. Interrogate unforgettable characters, crack murders or take bribes. Become a hero or an absolute disaster of a human being. The Final Cut adds full voice acting to the game, as well as new quests, more characters and fresh explorable areas.",[],6K,1K,5K,2K
29,Marvel's Spider-Man,"Jan 01, 2018",[],4.1,2K,2K,['Adventure'],"Starring the world’s most iconic Super Hero, Spider-Man features the acrobatic abilities, improvisation and web-slinging that the wall-crawler is famous for, while also introducing elements never-before-seen in a Spider-Man game. From traversing with parkour and utilizing the environment, to new combat and blockbuster set pieces, it’s Spider-Man unlike any you’ve played before.",[],21K,577,2K,2K
